Algo,GraphSize,PQType,Result_ms
Prims,54,BMH,3.6613999982364476
Prims,54,LL,4.23439999576658
AStar,55,BMH,0.46629999997094274
AStar,55,LL,0.44350000098347664
Prims,55,BMH,3.9336999761871994
Prims,55,LL,4.259200009983033
AStar,56,BMH,0.36189999082125723
AStar,56,LL,0.3436999977566302
Prims,56,BMH,3.818400000454858
Prims,56,LL,4.658699996070936
AStar,57,BMH,0.37029999657534063
AStar,57,LL,0.3192000149283558
Prims,57,BMH,3.954699990572408
Prims,57,LL,4.534599982434884
AStar,58,BMH,0.40950000402517617
AStar,58,LL,0.3580999909900129
Prims,58,BMH,4.166699975030497
Prims,58,LL,4.810299986274913
AStar,59,BMH,0.4138999793212861
AStar,59,LL,0.3597000031732023
Prims,59,BMH,4.080899991095066
Prims,59,LL,5.478600010974333
AStar,60,BMH,0.4183999844826758
AStar,60,LL,0.3648999845609069
Prims,60,BMH,4.358400008641183
Prims,60,LL,7.610300002852455
AStar,61,BMH,2.468799997586757
AStar,61,LL,2.3006999981589615
Prims,61,BMH,5.9665000007953495
Prims,61,LL,7.601999997859821
AStar,62,BMH,1.1346999963279814
AStar,62,LL,1.0848999954760075
Prims,62,BMH,7.295799994608387
Prims,62,LL,13.1522000010591
AStar,63,BMH,0.4557000065688044
AStar,63,LL,0.42810000013560057
Prims,63,BMH,5.119999987073243
Prims,63,LL,9.545199980493635
AStar,64,BMH,0.4212000058032572
AStar,64,LL,0.38889999268576503
Prims,64,BMH,4.727299994556233
Prims,64,LL,6.067500013159588
AStar,65,BMH,0.4807000223081559
AStar,65,LL,0.49669999862089753
Prims,65,BMH,4.810700018424541
Prims,65,LL,6.197099981363863
AStar,66,BMH,0.388299988117069
AStar,66,LL,0.36810000892728567
Prims,66,BMH,4.868100018939003
Prims,66,LL,6.609299976844341
AStar,67,BMH,0.4606999864336103
AStar,67,LL,0.4074999887961894
Prims,67,BMH,4.895499994745478
Prims,67,LL,6.411399983335286
AStar,68,BMH,0.49890001537278295
AStar,68,LL,0.444800010882318
Prims,68,BMH,5.128199991304427
Prims,68,LL,6.470599997555837
AStar,69,BMH,0.43059999006800354
AStar,69,LL,0.4144000122323632
Prims,69,BMH,5.027600011089817
Prims,69,LL,6.775699992431328
AStar,70,BMH,0.4796000139322132
AStar,70,LL,0.4251000063959509
Prims,70,BMH,5.354099994292483
Prims,70,LL,6.945599976461381
AStar,71,BMH,0.5157999985385686
AStar,71,LL,0.46369998017326
Prims,71,BMH,5.254600022453815
Prims,71,LL,7.311099994694814
AStar,72,BMH,0.4920000210404396
AStar,72,LL,0.5090999766252935
Prims,72,BMH,5.480299994815141
Prims,72,LL,7.15620000846684
AStar,73,BMH,0.41619999683462083
AStar,73,LL,0.43569999979808927
Prims,73,BMH,5.4561999859288335
Prims,73,LL,7.532999996328726
AStar,74,BMH,0.45560000580735505
AStar,74,LL,0.6542000046465546
Prims,74,BMH,5.513500014785677
Prims,74,LL,7.756500010145828
AStar,75,BMH,2.5424000050406903
AStar,75,LL,2.7771999884862453
Prims,75,BMH,5.7416000054217875
Prims,75,LL,7.6421000121627
AStar,76,BMH,0.5443999834824353
AStar,76,LL,0.49270002637058496
Prims,76,BMH,7.652300002519041
Prims,76,LL,8.574799983762205
AStar,77,BMH,0.5697000015061349
AStar,77,LL,0.6921000021975487
Prims,77,BMH,6.965900014620274
Prims,77,LL,8.065100002568215
AStar,78,BMH,0.5758999905083328
AStar,78,LL,0.5382999952416867
Prims,78,BMH,6.48939999518916
Prims,78,LL,8.649299998069182
AStar,79,BMH,0.5935000081080943
AStar,79,LL,0.5209000082686543
Prims,79,BMH,6.5591000020504
Prims,79,LL,8.857499982696027
AStar,80,BMH,0.4912999866064638
AStar,80,LL,0.510600017150864
Prims,80,BMH,6.379600003128871
Prims,80,LL,8.724100014660507
AStar,81,BMH,0.5061999836470932
AStar,81,LL,0.5208999791648239
Prims,81,BMH,6.270300014875829
Prims,81,LL,9.006300009787083
AStar,82,BMH,0.5014000053051859
AStar,82,LL,0.44940001680515707
Prims,82,BMH,6.371600000420585
Prims,82,LL,10.344999987864867
AStar,83,BMH,0.6282000103965402
AStar,83,LL,0.5750000127591193
Prims,83,BMH,6.738500000210479
Prims,83,LL,9.636200004024431
AStar,84,BMH,0.43650000588968396
AStar,84,LL,0.45129997306503356
Prims,84,BMH,6.89089999650605
Prims,84,LL,10.256000008666888
AStar,85,BMH,0.6235000037122518
AStar,85,LL,0.5039999959990382
Prims,85,BMH,7.012199988821521
Prims,85,LL,9.338800009572878
AStar,86,BMH,0.5590000073425472
AStar,86,LL,0.5058000097051263
Prims,86,BMH,7.224000000860542
Prims,86,LL,9.989099984522909
AStar,87,BMH,0.4737999988719821
AStar,87,LL,0.426900020102039
Prims,87,BMH,7.140799978515133
Prims,87,LL,9.903799975290895
AStar,88,BMH,0.5246000073384494
AStar,88,LL,0.4751000087708235
Prims,88,BMH,7.241599989356473
